Shipment_ID,Transport,Department,Pickup_time,Pickup_date,Delivery_time,Delivery_date,Collection_Name,Collection_City,Collection_Address,Collection_Postal_Code,Delivery_Name,Delivery_City,Delivery_Address,Delivery_Postal_Code,Weight,Volume,Ldm,Content,Units,Unit_type,Hazardous,Cost
BOLIA-D4732,,TEST1,08:00-18:00,2026-01-16,08:00-11:00,2026-01-19,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,3915.0,42.895,10.7,Furniture,210,CLL,False,8400.0
BOLIA-D4497,,TEST1,08:00-18:00,2026-01-16,08:00-11:00,2026-01-19,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,1723.0,33.816,8.5,FURNITURE,85,CLL,False,7300.0
CTHO1-46684,,TEST1,10:00-14:00,2026-01-19,06:30-13:00,2026-01-20,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,ROSE POULTRY A/S,VINDERUP,"TVÆRMOSEVEJ 10, PORT 8 DK-7830 VINDERUP",7830.0,1591.0,16.8,4.0,FOLIEFORM,10,PLL,False,1500.0
CTHO1-46513,,TEST1,11:00-21:00,2026-01-19,07:00-12:00,2026-01-20,PLUS PACK AS,ODENSE S,ENERGIVEJ 40 DK-5260 ODENSE S,5260.0,STRYHNS A/S ROSKILDE,ROSKILDE,"VESTRE KIRKEVEJ 13-19, HIMMELE DK-4000 ROSKILDE",4000.0,1111.0,8.72,2.0,FOLIEFORM,5,PLL,False,2500.0
DISAH-ZF077,,TEST1,07:00-14:15,2026-01-19,00:01-23:59,2026-01-19,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,3395.0,69.696,13.2,BOTTLE,33,EUR,False,1900.0
DISAH-ZF566,,TEST1,07:00-14:15,2026-01-20,00:01-23:59,2026-01-20,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,3095.0,69.696,13.2,BOTTLE,33,EUR,False,1900.0
DISAH-ZF464,,TEST1,07:00-14:15,2026-01-20,00:01-23:59,2026-01-20,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,SCANDIC FOOD A/S,NØRRE AABY,RÖNNEVEJ 24 PORT 1-2 MAN-TOR:6.30-14.00 - FRE: 6.30-12.,5580.0,3095.0,65.472,12.4,BOTTLE,31,EUR,False,1900.0
DISAH-ZF735,,TEST1,07:00-14:15,2026-01-20,00:01-23:59,2026-01-20,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,3395.0,69.696,13.2,BOTTLE,33,EUR,False,3000.0
DISAH-ZF376,,TEST1,07:00-14:15,2026-01-20,00:01-23:59,2026-01-20,BERLIN PACKAGING DENMARK,BORUP,BÆKGÅRDSVEJ 56,4140.0,BLUME FOOD I/S,RANDERS NV,SMEDEVAENGET 4,8920.0,3395.0,69.696,13.2,BOTTLE,33,EUR,False,3000.0
HAY01-AC517,,TEST1,00:01-23:59,2026-01-19,00:01-23:59,2026-01-20,HAY,HORSENS,C/O DSV - PORT 671-681 MOSSVEJ 27,8700.0,COMWELL KØGE STRAND A/S,KØGE,STRANDVEJEN 111,4600.0,507.0,7.302,2.4,FURNITURE/LIGHTING,4,CLL,False,4200.0
HAY01-AC096,,TEST1,00:01-23:59,2026-01-19,08:00-23:59,2026-01-20,HAY,HORSENS,C/O DSV - PORT 671-681 MOSSVEJ 27,8700.0,AGC BIOLOGICS A/S,SØBORG,VANDTÅRNSVEJ 83 A +45 27802875,2860.0,1400.0,42.528,9.4,FURNITURE/LIGHTING,24,CLL,False,7800.0
HAY01-AC125,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-17,HAY,HORSENS,C/O DSV - PORT 671-681 MOSSVEJ 27,8700.0,M OFFICE A/S,VÆRLØSE,WALGERHOLM 1,3500.0,348.0,10.656,2.4,FURNITURE/LIGHTING,6,EUR,False,4200.0
HDAMS-05364,,TEST1,08:00-15:00,2026-01-06,00:01-13:00,2026-01-12,H. DAM KÆRGAARD C/O DSV SOLUTIONS,HORSENS,MOSSVEJ 27 PORT 606,8700.0,CENTER FOR ØKONOMI,BRØNDBY,PRIORPARKEN 464 PORT 6 - 8,2605.0,4414.0,15.722,4.4,,11,PLL,False,5300.0
KEY03-09940,,TEST1,00:01-23:59,2026-01-16,00:01-23:59,2026-01-19,DSV ROAD  A/S - TERMINAL,HORSENS,MOSSVEJ 27 - 29 DK-8700 HORSENS,8700.0,DSV SOLUTIONS A/S,HEDEHUSENE,HEDELANDSVEJ 288 DK-2640 HEDEHUSENE,2640.0,3045.0,24.72,0.0,3M PRODUCTS,24,PLL,False,3000.0
KEY04-AM456,,TEST1,00:01-23:59,2026-01-13,07:00-12:00,2026-01-16,FAERCH A/S,HOLSTEBRO,RASMUS FÆRCHS VEJ 1 DK-7500 HOLSTEBRO,7500.0,STRYHNS A/S,FØLLENSLEV,HAVNEVEJ 32 - PORT 8 HAVNSØ,4591.0,9325.0,77.965,13.2,UNSPECIFIED GOODS,66,EUR,False,7500.0
KEY04-AN050,,TEST1,00:01-23:59,2026-01-05,00:01-23:59,2026-01-06,BYGMA HVALSÖ,HVALSØ,BENTSENSVEJ 12 DK-4330 HVALSØ,4330.0,Bauhaus Webshop,BRABRAND,Logistikparken 11 Port 315-316,8220.0,1665.0,9.8,3.0,INDV.DÖRE OG KARME C,13,CLL,False,1400.0
KEY04-AN800,,TEST1,00:01-23:59,2026-01-12,07:00-07:00,2026-01-13,FAERCH A/S,HOLSTEBRO,RASMUS FÆRCHS VEJ 1 DK-7500 HOLSTEBRO,7500.0,BUNZL DISTRIBUTION DANMARK A/S POR,GREVE,GREVE MAIN 30 DK-2670 GREVE,2670.0,3699.0,36.906,7.2,UNSPECIFIED GOODS,35,EUR,False,5800.0
KEY04-AN406,,TEST1,00:01-23:59,2026-01-16,06:00-11:00,2026-01-19,FAERCH A/S,HOLSTEBRO,RASMUS FÆRCHS VEJ 1 DK-7500 HOLSTEBRO,7500.0,DAGROFA FOODSERVICE (ØST),ISHØJ,VEJLEÅVEJ 13 PORT 30-34,2635.0,1126.0,13.755,4.0,UNSPECIFIED GOODS,20,EUR,False,4400.0
