Shipment_ID,Transport,Department,Pickup_time,Pickup_date,Delivery_time,Delivery_date,Collection_Name,Collection_City,Collection_Address,Collection_Postal_Code,Collection_Country,Delivery_Name,Delivery_City,Delivery_Address,Delivery_Postal_Code,Delivery_Country,Weight,Volume,Ldm,Content,Units,Unit_type,Hazardous,Cost,Finance_Department,Incoterm,Customer,Loading_Instructions,Customer_Reference,Additional_Information,Services,min_temperature,max_temperature,stops
BAHN4-004J2,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-26,BAHNE C/O SOLUTIONS,HORSENS,MOSSVEJ 27 PORT  718-722,8700.0,DK,BAHNE FIELDS,KØBENHAVN S,FIELDS BUTIKSNR. 155 ARNE JACOBSENS ALLÉ 12 AFDELING 12,2300.0,DK,2175,11.687,4.0,Brugskunst,10,PLL,False,5100.0,NAESJ,DAP,BAHNE C/O SOLUTIONS,,,,,-99.0,99.0,
BOLIA-D0CIV,,NAESJ,08:00-12:00,2026-02-03,00:01-23:59,2026-02-05,AAGE ØSTERGAARD MØBELPRODUKTION,ROSLEV,"HESTHØJVEJ 16, PORT 9 DK-7870 ROSLEV",7870.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,2337,7.84,2.8,FURNITURE,69,CTN,False,4000.0,NAESJ,DAP,AAGE ØSTERGAARD MØBELPRODUKTION,,,,,-99.0,99.0,
BOLIA-D1FE2,,NAESJ,00:01-23:59,2026-02-05,00:01-23:59,2026-02-05,MASSIMO COPENHAGEN APS.,BIRKERØD,BLOKKEN  79 +45 48 42 25 73,3460.0,DK,DSV SOLUTIONS,HORSENS,MOSSVEJ 27 PORT 730,8700.0,DK,2988,19.2,6.4,FURNITURE,600,CTN,False,2100.0,NAESJ,DAP,MASSIMO COPENHAGEN APS.,,,,,-99.0,99.0,
BOLIA-D1741,,NAESJ,11:00-11:00,2026-01-26,10:00-19:00,2026-01-26,AAGE ØSTERGAARD MØBELPRODUKTION,ROSLEV,"HESTHØJVEJ 16, PORT 9 DK-7870 ROSLEV",7870.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,3592,15.96,5.7,FURNITURE,95,CTN,False,5400.0,NAESJ,DAP,AAGE ØSTERGAARD MØBELPRODUKTION,,,,,-99.0,99.0,
BOLIA-D1PTW,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-27,"SANYEI SCANDINAVIA A/S, LAGER",TÅRS,VESTER BORUPVEJ 20 - PORT 6 DK-9830 TÅRS,9830.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,1635,8.4,2.8,FURNITURE,106,CTN,False,5000.0,NAESJ,DAP,"SANYEI SCANDINAVIA A/S, LAGER",,,,,-99.0,99.0,
BOLIA-D1EV7,,NAESJ,00:01-23:59,2026-01-27,00:01-23:59,2026-01-27,HMS FURNITURE GROUP OF DENMARK,SABRO,DAMVEJ 5 DK-8471 SABRO,8471.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,1442,9.36,2.6,FURNITURE,108,CTN,False,4200.0,NAESJ,DAP,HMS FURNITURE GROUP OF DENMARK,,,,,-99.0,99.0,
BOLIA-D1NWR,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-27,"SANYEI SCANDINAVIA A/S, LAGER",TÅRS,VESTER BORUPVEJ 20 - PORT 6 DK-9830 TÅRS,9830.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,520,3.0,1.0,FURNITURE,17,CTN,False,4000.0,NAESJ,DAP,"SANYEI SCANDINAVIA A/S, LAGER",,,,,-99.0,99.0,
BOLIA-D13FN,,NAESJ,10:00-15:00,2026-01-26,13:30-13:30,2026-01-26,AAGE ØSTERGAARD MØBELPRODUKTION,ROSLEV,"HESTHØJVEJ 16, PORT 9 DK-7870 ROSLEV",7870.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,557,3.06,1.1,FURNITURE,15,CTN,False,3300.0,NAESJ,DAP,AAGE ØSTERGAARD MØBELPRODUKTION,,,,,-99.0,99.0,
BOLIA-D2O8C,,NAESJ,21:00-23:59,2026-02-06,14:00-23:30,2026-02-06,HMS FURNITURE GROUP OF DENMARK,SABRO,DAMVEJ 5 DK-8471 SABRO,8471.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,1185,6.635,1.8,FURNITURE,80,CTN,False,3900.0,NAESJ,DAP,HMS FURNITURE GROUP OF DENMARK,,,,,-99.0,99.0,
BOLIA-D2NH2,,NAESJ,00:01-23:59,2026-02-05,00:01-23:59,2026-02-05,AAGE ØSTERGAARD MØBELPRODUKTION,ROSLEV,"HESTHØJVEJ 16, PORT 9 DK-7870 ROSLEV",7870.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,361,4.117,1.5,FURNITURE,13,CTN,False,3400.0,NAESJ,DAP,AAGE ØSTERGAARD MØBELPRODUKTION,,,,,-99.0,99.0,
BOLIA-D24RX,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-27,"SANYEI SCANDINAVIA A/S, LAGER",TÅRS,VESTER BORUPVEJ 20 - PORT 6 DK-9830 TÅRS,9830.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,70,0.453,0.2,FURNITURE,1,CTN,False,3500.0,NAESJ,DAP,"SANYEI SCANDINAVIA A/S, LAGER",,,,,-99.0,99.0,
BOLIA-D2HPJ,,NAESJ,00:01-23:59,2026-02-02,06:00-08:30,2026-02-03,LINIE DESIGN A/S,LYNGE,GRANLYET 7,3540.0,DK,DSV SOLUTIONS,HORSENS,MOSSVEJ 27 PORT 730,8700.0,DK,1610,13.2,4.4,FURNITURE,153,CTN,False,1800.0,NAESJ,DAP,LINIE DESIGN A/S,,,,,-99.0,99.0,
BOLIA-D2HQX,,NAESJ,08:00-18:00,2026-02-06,10:00-19:00,2026-02-06,HMS FURNITURE GROUP OF DENMARK,SABRO,DAMVEJ 5 DK-8471 SABRO,8471.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,75,0.513,0.1,FURNITURE,8,CTN,False,3000.0,NAESJ,DAP,HMS FURNITURE GROUP OF DENMARK,,,,,-99.0,99.0,
BOLIA-D35PH,,NAESJ,00:01-23:59,2026-01-26,00:01-23:59,2026-01-27,HMS FURNITURE GROUP OF DENMARK,SABRO,DAMVEJ 5 DK-8471 SABRO,8471.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,320,1.224,0.3,FURNITURE,23,CTN,False,3100.0,NAESJ,DAP,HMS FURNITURE GROUP OF DENMARK,,,,,-99.0,99.0,
BOLIA-D3CW4,,NAESJ,23:59-23:59,2026-02-06,23:00-23:59,2026-02-06,HMS FURNITURE GROUP OF DENMARK,SABRO,DAMVEJ 5 DK-8471 SABRO,8471.0,DK,"KØBENHAVN, RTC",BRØNDBY,ABILDAGER 14 DK-2605 BRØNDBY,2605.0,DK,274,0.825,0.2,FURNITURE,20,CTN,False,3100.0,NAESJ,DAP,HMS FURNITURE GROUP OF DENMARK,,,,,-99.0,99.0,
BOLIA-D3W6V,,NAESJ,06:00-14:30,2026-01-29,06:55-06:55,2026-01-29,LINIE DESIGN A/S,LYNGE,GRANLYET 7,3540.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,3800,38.7,12.9,Furniture,1,LOAD,False,2900.0,NAESJ,DAP,LINIE DESIGN A/S,,,,,-99.0,99.0,
BOLIA-D3MIL,,NAESJ,00:01-23:59,2026-02-04,00:01-23:59,2026-02-04,LINIE DESIGN A/S,LYNGE,GRANLYET 7,3540.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,360,4.5,1.5,Furniture/300*90*140,1,LOAD,False,1300.0,NAESJ,DAP,LINIE DESIGN A/S,,,,,-99.0,99.0,
BOLIA-D3AQ2,,NAESJ,00:01-23:59,2026-02-04,00:01-23:59,2026-02-04,MASSIMO COPENHAGEN APS.,BIRKERØD,BLOKKEN  79 +45 48 42 25 73,3460.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,2960,12.9,4.3,Furniture,1,LOAD,False,1700.0,NAESJ,DAP,MASSIMO COPENHAGEN APS.,,,,,-99.0,99.0,
BOLIA-D3AEZ,,NAESJ,00:01-23:59,2026-02-01,00:01-23:59,2026-02-02,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,2891,34.29,8.6,Furniture,151,CLL,False,7400.0,NAESJ,DAP,BOLIA TERMINAL - DSV TERMINAL,,,,,-99.0,99.0,
BOLIA-D3MD6,,NAESJ,22:30-23:59,2026-02-01,00:01-23:59,2026-02-02,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,BOLIA.COM                      CPH,BRØNDBY,C/O RTC TRANSPORT/+45 70270040 ABILDAGER  8 - 14,2605.0,DK,628,6.779,1.7,FURNITURE,39,CLL,False,3900.0,NAESJ,DAP,BOLIA TERMINAL - DSV TERMINAL,,,,,-99.0,99.0,
BOLIA-D42DS,,NAESJ,00:01-23:59,2026-02-05,00:01-23:59,2026-02-05,MASSIMO COPENHAGEN APS.,BIRKERØD,BLOKKEN  79 +45 48 42 25 73,3460.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,6300,21.6,7.2,Furniture,1,LOAD,False,2200.0,NAESJ,DAP,MASSIMO COPENHAGEN APS.,,,,,-99.0,99.0,
BOLIA-D4SG1,,NAESJ,07:00-15:00,2026-02-03,07:00-13:00,2026-02-03,MASSIMO COPENHAGEN APS.,BIRKERØD,BLOKKEN  79 +45 48 42 25 73,3460.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,2200,17.7,5.9,Furniture,1,LOAD,False,2000.0,NAESJ,DAP,MASSIMO COPENHAGEN APS.,,,,,-99.0,99.0,
BOLIA-D4XEQ,,NAESJ,00:01-23:59,2026-02-04,00:01-23:59,2026-02-04,LINIE DESIGN A/S,LYNGE,GRANLYET 7,3540.0,DK,BOLIA TERMINAL - DSV TERMINAL,HORSENS,"MOSSVEJ 27 , HAL F2 HENVENDELSE V/ PORT 620",8700.0,DK,3600,36.0,12.0,Furniture,1,LOAD,False,2900.0,NAESJ,DAP,LINIE DESIGN A/S,,,,,-99.0,99.0,
